Modelo,Accuracy,Precision,Recall,F1 Score,AUC-ROC,Log-Loss,MCC,Specificity
XGBoost classifier,91.67%,1.0,0.7058823529411765,0.8275862068965517,0.963064295485636,0.292356083254484,0.7952062255644574,1.0
MLPClassifier,91.67%,0.9285714285714286,0.7647058823529411,0.8387096774193549,0.9398084815321476,0.3214358054910747,0.7899464730200436,0.9767441860465116
LightGBM classifier,86.67%,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.9630642954856361,0.23479773761774758,,
